Invoice_ID,Customer_ID,Customer_Name,Customer_Segment,Region,Invoice_Date,Due_Date,Invoice_Amount,Amount_Paid,Payment_Date,Payment_Status,Invoice_Category,Sales_Rep,Dispute_Flag,Dispute_Reason,Outstanding_Amount,Days_To-Pay,Days_Overdue,Aging_Bucket,Recovery_Priority
INV-0011,CUST-011,Dhawan Pharmaceuticals,Mid-Market,Pune,11-03-2025,10-04-2025,189520,0,,Overdue,Annual License,Rahul Nair,No,,189520,,81,61-90 Days,High - Manager Call
INV-0012,CUST-012,Rawat Real Estate,Mid-Market,Pune,10-09-2024,10-10-2024,178452,0,,Overdue,Consulting,Sneha Patel,No,,178452,,263,90+ Days,Critical - Escalate Now
INV-0013,CUST-013,Jain Packaging Solutions,Mid-Market,Pune,06-09-2024,06-10-2024,148027,148027,24-09-2024,Paid,Product Sale,Vikram Joshi,No,,0,18,0,Current,None
INV-0014,CUST-014,Kapur Infrastructure,Mid-Market,Pune,29-06-2024,29-07-2024,58674,58674,07-09-2024,Late_Paid,Product Sale,Anita Reddy,No,,0,70,0,Current,None
INV-0015,CUST-015,Sahni Hospitality Services,Mid-Market,Pune,31-10-2024,30-11-2024,119589,0,,Disputed,Annual License,Karan Mehta,Yes,Contract Disagreement,119589,,212,90+ Days,High - Legal Review
INV-0016,CUST-016,Bakshi Steel Syndicate,Mid-Market,Pune,29-03-2025,28-04-2025,194145,194145,17-04-2025,Paid,Annual License,Divya Singh,No,,0,19,0,Current,None
INV-0017,CUST-017,Sachdeva Marketing Agency,Mid-Market,Pune,01-05-2025,31-05-2025,140402,99685.42,27-05-2025,Partial,Maintenance Contract,Amit Verma,No,,40716.58,26,30,0-30 Days,Low - Monitor
INV-0018,CUST-018,Chawla Hardware Stores,Mid-Market,Pune,01-09-2024,01-10-2024,149003,149003,13-09-2024,Paid,Maintenance Contract,Priya Sharma,No,,0,12,0,Current,None
INV-0019,CUST-019,Oberoi Paper Products,Mid-Market,Pune,09-12-2024,08-01-2025,119314,119314,22-01-2025,Late_Paid,Service Fee,Rahul Nair,No,,0,44,0,Current,None
INV-0020,CUST-020,Luthra Chemical Works,Mid-Market,Pune,27-01-2025,26-02-2025,158116,158116,29-03-2025,Late_Paid,Product Sale,Sneha Patel,No,,0,61,0,Current,None
INV-0021,CUST-021,Deshmukh Engineering Works,Mid-Market,Delhi,15-04-2024,15-05-2024,153197,0,,Overdue,Product Sale,Vikram Joshi,No,,153197,,411,90+ Days,Critical - Escalate Now
INV-0022,CUST-022,Patel Polymers & Plastics,Mid-Market,Delhi,02-02-2025,04-03-2025,140000,140000,02-04-2025,Late_Paid,Annual License,Anita Reddy,No,,0,59,0,Current,None
INV-0023,CUST-023,Shah Global Exports,Mid-Market,Delhi,07-01-2024,06-02-2024,56622,56622,08-03-2024,Late_Paid,Consulting,Karan Mehta,No,,0,61,0,Current,None
INV-0024,CUST-024,Kulkarni Consultancy Services,Mid-Market,Delhi,13-08-2024,12-09-2024,87856,41292.32,04-09-2024,Partial,Consulting,Divya Singh,No,,46563.68,22,291,90+ Days,Critical - Escalate Now
INV-0025,CUST-025,Joshi Precision Tools,Mid-Market,Delhi,18-02-2025,20-03-2025,152688,152688,14-03-2025,Paid,Service Fee,Amit Verma,No,,0,24,0,Current,None
INV-0026,CUST-026,Mehta Financial Advisors,Mid-Market,Delhi,25-11-2024,25-12-2024,163339,0,,Overdue,Product Sale,Priya Sharma,No,,163339,,187,90+ Days,Critical - Escalate Now
INV-0027,CUST-027,Gandhi Trading House,Mid-Market,Delhi,18-05-2024,17-06-2024,65618,65618,08-07-2024,Late_Paid,Product Sale,Rahul Nair,No,,0,51,0,Current,None
INV-0028,CUST-028,Sawant Marine Services,Mid-Market,Delhi,01-12-2024,31-12-2024,78164,78164,29-01-2025,Late_Paid,Maintenance Contract,Sneha Patel,No,,0,59,0,Current,None
INV-0029,CUST-029,Doshi Dye-Chem Industries,Mid-Market,Delhi,07-03-2025,06-04-2025,144487,144487,12-04-2025,Late_Paid,Consulting,Vikram Joshi,No,,0,36,0,Current,None
INV-0030,CUST-030,Parikh Logistics & Warehousing,Mid-Market,Delhi,23-02-2024,24-03-2024,94133,94133,02-04-2024,Late_Paid,Service Fee,Anita Reddy,No,,0,39,0,Current,None
INV-0031,CUST-031,Kadam Agro Commodities,SME,Bangalore,01-02-2024,02-03-2024,36254,36254,25-02-2024,Paid,Product Sale,Karan Mehta,No,,0,24,0,Current,None
INV-0032,CUST-032,Sheth Diamond Traders,SME,Bangalore,01-09-2024,01-10-2024,19971,19971,12-09-2024,Paid,Annual License,Divya Singh,No,,0,11,0,Current,None
INV-0033,CUST-033,Pawar Heavy Equipments,SME,Bangalore,19-09-2024,19-10-2024,15807,15807,01-12-2024,Late_Paid,Annual License,Amit Verma,No,,0,73,0,Current,None
INV-0034,CUST-034,Thakkar Food Products,SME,Bangalore,16-06-2024,16-07-2024,33041,33041,21-06-2024,Paid,Annual License,Priya Sharma,No,,0,5,0,Current,None
INV-0035,CUST-035,Kunte Manufacturing Co.,SME,Bangalore,19-01-2025,18-02-2025,35604,35604,01-04-2025,Late_Paid,Product Sale,Rahul Nair,No,,0,72,0,Current,None
INV-0036,CUST-036,Modi Retail Chain,SME,Bangalore,14-04-2024,14-05-2024,25795,25795,22-04-2024,Paid,Annual License,Sneha Patel,No,,0,8,0,Current,None
INV-0037,CUST-037,Desai Infrastructure Developers,SME,Bangalore,05-02-2024,06-03-2024,26690,0,,Overdue,Maintenance Contract,Vikram Joshi,No,,26690,,481,90+ Days,Critical - Escalate Now
INV-0038,CUST-038,Raut Metal Castings,SME,Bangalore,15-12-2024,14-01-2025,20228,20228,23-12-2024,Paid,Consulting,Anita Reddy,No,,0,8,0,Current,None
INV-0039,CUST-039,Bhatia Oil Refineries,SME,Bangalore,05-01-2025,04-02-2025,36208,36208,08-03-2025,Late_Paid,Service Fee,Karan Mehta,No,,0,62,0,Current,None
INV-0040,CUST-040,Chavan Logistics Solutions,SME,Bangalore,03-10-2024,02-11-2024,18555,18555,21-10-2024,Paid,Consulting,Divya Singh,No,,0,18,0,Current,None
INV-0041,CUST-041,Iyer & Associates,SME,Chennai,01-10-2024,31-10-2024,38678,24753.92,25-10-2024,Partial,Product Sale,Amit Verma,No,,13924.08,24,242,90+ Days,Critical - Escalate Now
INV-0042,CUST-042,Reddy Infrastructure Projects,SME,Chennai,20-04-2025,20-05-2025,32218,32218,26-05-2025,Late_Paid,Maintenance Contract,Priya Sharma,No,,0,36,0,Current,None
INV-0043,CUST-043,Nair Maritime Agencies,SME,Chennai,28-11-2024,28-12-2024,46804,46804,11-12-2024,Paid,Maintenance Contract,Rahul Nair,No,,0,13,0,Current,None
INV-0044,CUST-044,Menon Biotech Labs,SME,Chennai,13-10-2024,12-11-2024,21079,21079,18-10-2024,Paid,Annual License,Sneha Patel,No,,0,5,0,Current,None
INV-0045,CUST-045,Naidu Electrical Systems,SME,Chennai,11-10-2024,10-11-2024,43461,0,,Overdue,Consulting,Vikram Joshi,No,,43461,,232,90+ Days,Critical - Escalate Now
INV-0046,CUST-046,Rao Automotive Components,SME,Chennai,02-05-2025,01-06-2025,37083,37083,07-05-2025,Paid,Consulting,Anita Reddy,No,,0,5,0,Current,None
INV-0047,CUST-047,Krishnan Textile Mill,SME,Chennai,28-10-2024,27-11-2024,36795,36795,23-11-2024,Paid,Maintenance Contract,Karan Mehta,No,,0,26,0,Current,None
INV-0048,CUST-048,Subramaniam Exports Pvt Ltd,SME,Chennai,12-01-2025,11-02-2025,28128,28128,23-03-2025,Late_Paid,Consulting,Divya Singh,No,,0,70,0,Current,None
INV-0049,CUST-049,Pillai Logistics Group,SME,Chennai,26-12-2024,25-01-2025,34868,34868,08-01-2025,Paid,Maintenance Contract,Amit Verma,No,,0,13,0,Current,None
INV-0050,CUST-050,Venkatesh Engineering Corp,SME,Chennai,03-05-2024,02-06-2024,33693,33693,31-05-2024,Paid,Product Sale,Priya Sharma,No,,0,28,0,Current,None
INV-0051,CUST-051,Srinivasan Polymers,SME,Hyderabad,08-07-2024,07-08-2024,24789,24789,05-08-2024,Paid,Maintenance Contract,Rahul Nair,No,,0,28,0,Current,None
INV-0052,CUST-052,Gowda Agri-Business,SME,Hyderabad,16-10-2024,15-11-2024,44508,44508,28-10-2024,Paid,Maintenance Contract,Sneha Patel,No,,0,12,0,Current,None
INV-0053,CUST-053,Ranganathan Softwares,SME,Hyderabad,24-01-2024,23-02-2024,14629,0,,Overdue,Maintenance Contract,Vikram Joshi,No,,14629,,493,90+ Days,Critical - Escalate Now
INV-0054,CUST-054,Sivanandam Trading Co.,SME,Hyderabad,26-10-2024,25-11-2024,38264,38264,06-12-2024,Late_Paid,Consulting,Anita Reddy,No,,0,41,0,Current,None
INV-0055,CUST-055,Balakrishnan Real Estate,SME,Hyderabad,18-10-2024,17-11-2024,32075,32075,28-10-2024,Paid,Maintenance Contract,Karan Mehta,No,,0,10,0,Current,None
INV-0056,CUST-056,Ramani Manufacturing,SME,Hyderabad,15-09-2024,15-10-2024,41060,41060,22-09-2024,Paid,Product Sale,Divya Singh,No,,0,7,0,Current,None
INV-0057,CUST-057,Vijayalakshmi Heavy Industries,SME,Hyderabad,18-05-2025,17-06-2025,40448,40448,01-07-2025,Late_Paid,Service Fee,Amit Verma,No,,0,44,0,Current,None
INV-0058,CUST-058,Jayaraman Logistics,SME,Hyderabad,07-11-2024,07-12-2024,11837,11837,29-11-2024,Paid,Product Sale,Priya Sharma,No,,0,22,0,Current,None
INV-0059,CUST-059,Thomas Marine Eng,SME,Hyderabad,19-08-2024,18-09-2024,20080,20080,07-09-2024,Paid,Consulting,Rahul Nair,No,,0,19,0,Current,None
INV-0060,CUST-060,Sunder Rao Traders,SME,Hyderabad,15-03-2025,14-04-2025,24696,18028.08,28-03-2025,Partial,Annual License,Sneha Patel,No,,6667.92,13,77,61-90 Days,High - Manager Call
INV-0061,CUST-061,Bharat Industrial Supplies,Retail,Ahmedabad,04-08-2024,03-09-2024,7984,7984,16-08-2024,Paid,Service Fee,Vikram Joshi,No,,0,12,0,Current,None
INV-0062,CUST-062,Coastal Shipping & Logistics,Retail,Ahmedabad,17-03-2024,16-04-2024,5725,2977,11-04-2024,Partial,Consulting,Anita Reddy,No,,2748,25,440,90+ Days,Critical - Escalate Now
INV-0063,CUST-063,Summit Engineering Services,Retail,Ahmedabad,03-02-2024,04-03-2024,3276,3276,10-02-2024,Paid,Consulting,Karan Mehta,No,,0,7,0,Current,None
INV-0064,CUST-064,Apex Mercantile Group,Retail,Ahmedabad,27-09-2024,27-10-2024,8534,8534,05-10-2024,Paid,Consulting,Divya Singh,No,,0,8,0,Current,None
INV-0065,CUST-065,Horizon Agri-Tech,Retail,Ahmedabad,18-08-2024,17-09-2024,5782,5782,25-08-2024,Paid,Service Fee,Amit Verma,No,,0,7,0,Current,None
INV-0066,CUST-066,Prime Steel Fabricators,Retail,Ahmedabad,18-06-2024,18-07-2024,6150,6150,26-06-2024,Paid,Consulting,Priya Sharma,No,,0,8,0,Current,None
INV-0067,CUST-067,Unity Wholesale Distributors,Retail,Ahmedabad,07-11-2024,07-12-2024,9055,9055,15-01-2025,Late_Paid,Annual License,Rahul Nair,No,,0,69,0,Current,None
INV-0068,CUST-068,Zenith Chemical Solutions,Retail,Ahmedabad,24-03-2025,23-04-2025,3974,3974,21-04-2025,Paid,Consulting,Sneha Patel,No,,0,28,0,Current,None
INV-0069,CUST-069,Dynamic Infrastructure Pvt Ltd,Retail,Ahmedabad,13-09-2024,13-10-2024,7664,4751.68,23-09-2024,Partial,Annual License,Vikram Joshi,No,,2912.32,10,260,90+ Days,Critical - Escalate Now
INV-0070,CUST-070,Global Trade Connect,Retail,Ahmedabad,22-09-2024,22-10-2024,8419,0,,Overdue,Consulting,Anita Reddy,No,,8419,,251,90+ Days,Critical - Escalate Now
INV-0071,CUST-071,Legacy Building Materials,Retail,Kolkata,11-10-2024,10-11-2024,4129,4129,18-10-2024,Paid,Consulting,Karan Mehta,No,,0,7,0,Current,None
INV-0072,CUST-072,Elite Retail Solutions,Retail,Kolkata,15-03-2025,14-04-2025,9613,0,,Overdue,Product Sale,Divya Singh,No,,9613,,77,61-90 Days,High - Manager Call
INV-0073,CUST-073,Vantage Construction Co.,Retail,Kolkata,03-12-2024,02-01-2025,6528,6528,01-02-2025,Late_Paid,Maintenance Contract,Amit Verma,No,,0,60,0,Current,None
INV-0074,CUST-074,Metro Freight Forwarders,Retail,Kolkata,07-02-2024,08-03-2024,5410,3137.8,12-03-2024,Partial,Maintenance Contract,Priya Sharma,No,,2272.2,34,479,90+ Days,Critical - Escalate Now
INV-0075,CUST-075,Standard Electrical Industries,Retail,Kolkata,28-01-2024,27-02-2024,9997,0,,Overdue,Consulting,Rahul Nair,No,,9997,,489,90+ Days,Critical - Escalate Now
INV-0076,CUST-076,Integrated Logistics Partners,Retail,Kolkata,24-01-2025,23-02-2025,7898,0,,Overdue,Consulting,Sneha Patel,No,,7898,,127,90+ Days,Critical - Escalate Now
INV-0077,CUST-077,Continental Trading Syndicate,Retail,Kolkata,27-07-2024,26-08-2024,6255,6255,15-08-2024,Paid,Maintenance Contract,Vikram Joshi,No,,0,19,0,Current,None
INV-0078,CUST-078,Superior Packing Systems,Retail,Kolkata,04-05-2024,03-06-2024,3391,1525.95,14-05-2024,Partial,Service Fee,Anita Reddy,No,,1865.05,10,392,90+ Days,Critical - Escalate Now
INV-0079,CUST-079,Essential Agro Exports,Retail,Kolkata,21-02-2025,23-03-2025,6385,6385,04-04-2025,Late_Paid,Consulting,Karan Mehta,No,,0,42,0,Current,None
INV-0080,CUST-080,Modern Infrastructure Consultants,Retail,Kolkata,25-05-2025,24-06-2025,6519,6519,21-06-2025,Paid,Annual License,Divya Singh,No,,0,27,0,Current,None
INV-0081,CUST-001,Malhotra Construction Group,Enterprise,Mumbai,01-03-2025,31-03-2025,1200187,1200187,20-03-2025,Paid,Service Fee,Amit Verma,No,,0,19,0,Current,None
INV-0082,CUST-002,Khanna Electricals & Co.,Enterprise,Mumbai,28-05-2024,27-06-2024,568116,568116,10-06-2024,Paid,Product Sale,Priya Sharma,No,,0,13,0,Current,None
INV-0083,CUST-003,Singh Freight Carriers,Enterprise,Mumbai,24-05-2024,23-06-2024,705193,0,,Overdue,Product Sale,Rahul Nair,No,,705193,,372,90+ Days,Critical - Escalate Now
INV-0084,CUST-004,Bhatia Polymers Pvt Ltd,Enterprise,Mumbai,16-05-2025,15-06-2025,1372554,1372554,20-07-2025,Late_Paid,Annual License,Sneha Patel,No,,0,65,0,Current,None
INV-0085,CUST-005,Verma Associates,Enterprise,Mumbai,13-06-2024,13-07-2024,907295,0,,Overdue,Consulting,Vikram Joshi,No,,907295,,352,90+ Days,Critical - Escalate Now
INV-0086,CUST-006,Chopra Cold Storage,Enterprise,Mumbai,23-01-2024,22-02-2024,1483594,0,,Overdue,Consulting,Anita Reddy,No,,1483594,,494,90+ Days,Critical - Escalate Now
INV-0087,CUST-007,Sethi Textiles & Fabrics,Enterprise,Mumbai,29-04-2025,29-05-2025,631768,499096.72,03-06-2025,Partial,Consulting,Karan Mehta,No,,132671.28,35,32,31-60 Days,Medium - Follow Up
INV-0088,CUST-008,Aggarwal Spices Trading,Enterprise,Mumbai,22-05-2025,21-06-2025,941977,941977,14-06-2025,Paid,Annual License,Divya Singh,No,,0,23,0,Current,None
INV-0089,CUST-009,Tandon Auto Parts,Enterprise,Mumbai,26-09-2024,26-10-2024,767794,0,,Overdue,Product Sale,Amit Verma,No,,767794,,247,90+ Days,Critical - Escalate Now
INV-0090,CUST-010,Gill Agricultural Implements,Enterprise,Mumbai,16-01-2024,15-02-2024,987052,987052,23-01-2024,Paid,Service Fee,Priya Sharma,No,,0,7,0,Current,None
INV-0091,CUST-011,Dhawan Pharmaceuticals,Mid-Market,Pune,28-09-2024,28-10-2024,134120,134120,13-10-2024,Paid,Product Sale,Rahul Nair,No,,0,15,0,Current,None
INV-0092,CUST-012,Rawat Real Estate,Mid-Market,Pune,24-01-2025,23-02-2025,135266,135266,30-01-2025,Paid,Annual License,Sneha Patel,No,,0,6,0,Current,None
INV-0093,CUST-013,Jain Packaging Solutions,Mid-Market,Pune,11-03-2024,10-04-2024,176662,176662,20-04-2024,Late_Paid,Service Fee,Vikram Joshi,No,,0,40,0,Current,None
INV-0094,CUST-014,Kapur Infrastructure,Mid-Market,Pune,10-04-2024,10-05-2024,143800,143800,20-04-2024,Paid,Consulting,Anita Reddy,No,,0,10,0,Current,None
INV-0095,CUST-015,Sahni Hospitality Services,Mid-Market,Pune,30-01-2024,29-02-2024,199515,199515,15-02-2024,Paid,Maintenance Contract,Karan Mehta,No,,0,16,0,Current,None
INV-0096,CUST-016,Bakshi Steel Syndicate,Mid-Market,Pune,17-03-2025,16-04-2025,145065,145065,12-04-2025,Paid,Annual License,Divya Singh,No,,0,26,0,Current,None
INV-0097,CUST-017,Sachdeva Marketing Agency,Mid-Market,Pune,23-06-2024,23-07-2024,159500,159500,19-07-2024,Paid,Annual License,Amit Verma,No,,0,26,0,Current,None
INV-0098,CUST-018,Chawla Hardware Stores,Mid-Market,Pune,24-08-2024,23-09-2024,159294,0,,Overdue,Service Fee,Priya Sharma,No,,159294,,280,90+ Days,Critical - Escalate Now
INV-0099,CUST-019,Oberoi Paper Products,Mid-Market,Pune,27-05-2024,26-06-2024,53106,0,,Overdue,Consulting,Rahul Nair,No,,53106,,369,90+ Days,Critical - Escalate Now
INV-0100,CUST-020,Luthra Chemical Works,Mid-Market,Pune,10-06-2024,10-07-2024,145979,145979,24-06-2024,Paid,Annual License,Sneha Patel,No,,0,14,0,Current,None
INV-0101,CUST-021,Deshmukh Engineering Works,Mid-Market,Delhi,13-09-2024,13-10-2024,93460,93460,11-11-2024,Late_Paid,Service Fee,Vikram Joshi,No,,0,59,0,Current,None
INV-0102,CUST-022,Patel Polymers & Plastics,Mid-Market,Delhi,19-04-2024,19-05-2024,183877,112164.97,21-05-2024,Partial,Annual License,Anita Reddy,No,,71712.03,32,407,90+ Days,Critical - Escalate Now
INV-0103,CUST-023,Shah Global Exports,Mid-Market,Delhi,23-01-2024,22-02-2024,179059,179059,27-02-2024,Late_Paid,Maintenance Contract,Karan Mehta,No,,0,35,0,Current,None
INV-0104,CUST-024,Kulkarni Consultancy Services,Mid-Market,Delhi,20-02-2024,21-03-2024,184857,92428.5,08-03-2024,Partial,Maintenance Contract,Divya Singh,No,,92428.5,17,466,90+ Days,Critical - Escalate Now
INV-0105,CUST-025,Joshi Precision Tools,Mid-Market,Delhi,26-12-2024,25-01-2025,115371,115371,08-01-2025,Paid,Annual License,Amit Verma,No,,0,13,0,Current,None
INV-0106,CUST-026,Mehta Financial Advisors,Mid-Market,Delhi,09-04-2024,09-05-2024,134026,134026,11-06-2024,Late_Paid,Maintenance Contract,Priya Sharma,No,,0,63,0,Current,None
INV-0107,CUST-027,Gandhi Trading House,Mid-Market,Delhi,08-01-2025,07-02-2025,84238,84238,23-01-2025,Paid,Maintenance Contract,Rahul Nair,No,,0,15,0,Current,None
INV-0108,CUST-028,Sawant Marine Services,Mid-Market,Delhi,13-09-2024,13-10-2024,87841,0,,Overdue,Annual License,Sneha Patel,No,,87841,,260,90+ Days,Critical - Escalate Now
INV-0109,CUST-029,Doshi Dye-Chem Industries,Mid-Market,Delhi,17-06-2024,17-07-2024,160068,160068,15-07-2024,Paid,Maintenance Contract,Vikram Joshi,No,,0,28,0,Current,None
INV-0110,CUST-030,Parikh Logistics & Warehousing,Mid-Market,Delhi,27-04-2024,27-05-2024,51530,51530,15-06-2024,Late_Paid,Service Fee,Anita Reddy,No,,0,49,0,Current,None
INV-0111,CUST-031,Kadam Agro Commodities,SME,Bangalore,09-01-2025,08-02-2025,27959,27959,22-01-2025,Paid,Product Sale,Karan Mehta,No,,0,13,0,Current,None
INV-0112,CUST-032,Sheth Diamond Traders,SME,Bangalore,14-07-2024,13-08-2024,24710,0,,Overdue,Annual License,Divya Singh,No,,24710,,321,90+ Days,Critical - Escalate Now
INV-0113,CUST-033,Pawar Heavy Equipments,SME,Bangalore,20-04-2024,20-05-2024,20312,20312,14-05-2024,Paid,Product Sale,Amit Verma,No,,0,24,0,Current,None
INV-0114,CUST-034,Thakkar Food Products,SME,Bangalore,01-12-2024,31-12-2024,28818,28818,26-12-2024,Paid,Product Sale,Priya Sharma,No,,0,25,0,Current,None
INV-0115,CUST-035,Kunte Manufacturing Co.,SME,Bangalore,05-11-2024,05-12-2024,28364,20138.44,16-11-2024,Partial,Service Fee,Rahul Nair,No,,8225.56,11,207,90+ Days,Critical - Escalate Now
INV-0116,CUST-036,Modi Retail Chain,SME,Bangalore,17-07-2024,16-08-2024,30081,0,,Disputed,Annual License,Sneha Patel,Yes,Goods Not Received,30081,,318,90+ Days,High - Legal Review
INV-0117,CUST-037,Desai Infrastructure Developers,SME,Bangalore,15-01-2025,14-02-2025,21170,0,,Overdue,Annual License,Vikram Joshi,No,,21170,,136,90+ Days,Critical - Escalate Now
INV-0118,CUST-038,Raut Metal Castings,SME,Bangalore,28-02-2025,30-03-2025,31611,31611,18-03-2025,Paid,Annual License,Anita Reddy,No,,0,18,0,Current,None
INV-0119,CUST-039,Bhatia Oil Refineries,SME,Bangalore,03-02-2024,04-03-2024,18321,18321,22-02-2024,Paid,Consulting,Karan Mehta,No,,0,19,0,Current,None
INV-0120,CUST-040,Chavan Logistics Solutions,SME,Bangalore,06-01-2025,05-02-2025,46811,46811,04-03-2025,Late_Paid,Annual License,Divya Singh,No,,0,57,0,Current,None
INV-0121,CUST-041,Iyer & Associates,SME,Chennai,11-02-2025,13-03-2025,42760,42760,18-02-2025,Paid,Consulting,Amit Verma,No,,0,7,0,Current,None
INV-0122,CUST-042,Reddy Infrastructure Projects,SME,Chennai,22-01-2024,21-02-2024,38876,38876,05-03-2024,Late_Paid,Service Fee,Priya Sharma,No,,0,43,0,Current,None
INV-0123,CUST-043,Nair Maritime Agencies,SME,Chennai,20-02-2025,22-03-2025,44901,0,,Disputed,Annual License,Rahul Nair,Yes,Goods Not Received,44901,,100,90+ Days,High - Legal Review
INV-0124,CUST-044,Menon Biotech Labs,SME,Chennai,02-12-2024,01-01-2025,28372,28372,15-01-2025,Late_Paid,Maintenance Contract,Sneha Patel,No,,0,44,0,Current,None
INV-0125,CUST-045,Naidu Electrical Systems,SME,Chennai,13-09-2024,13-10-2024,15398,15398,26-10-2024,Late_Paid,Product Sale,Vikram Joshi,No,,0,43,0,Current,None
INV-0126,CUST-046,Rao Automotive Components,SME,Chennai,14-06-2024,14-07-2024,44472,0,,Overdue,Annual License,Anita Reddy,No,,44472,,351,90+ Days,Critical - Escalate Now
INV-0127,CUST-047,Krishnan Textile Mill,SME,Chennai,27-06-2024,27-07-2024,10815,10815,03-09-2024,Late_Paid,Consulting,Karan Mehta,No,,0,68,0,Current,None
INV-0128,CUST-048,Subramaniam Exports Pvt Ltd,SME,Chennai,06-03-2024,05-04-2024,11246,11246,29-03-2024,Paid,Annual License,Divya Singh,No,,0,23,0,Current,None
INV-0129,CUST-049,Pillai Logistics Group,SME,Chennai,07-04-2025,07-05-2025,39826,39826,21-04-2025,Paid,Annual License,Amit Verma,No,,0,14,0,Current,None
INV-0130,CUST-050,Venkatesh Engineering Corp,SME,Chennai,01-02-2024,02-03-2024,48684,48684,03-04-2024,Late_Paid,Consulting,Priya Sharma,No,,0,62,0,Current,None
INV-0131,CUST-051,Srinivasan Polymers,SME,Hyderabad,17-05-2025,16-06-2025,29852,29852,26-06-2025,Late_Paid,Product Sale,Rahul Nair,No,,0,40,0,Current,None
INV-0132,CUST-052,Gowda Agri-Business,SME,Hyderabad,31-05-2024,30-06-2024,26578,26578,25-06-2024,Paid,Annual License,Sneha Patel,No,,0,25,0,Current,None
INV-0133,CUST-053,Ranganathan Softwares,SME,Hyderabad,28-11-2024,28-12-2024,48397,48397,19-12-2024,Paid,Consulting,Vikram Joshi,No,,0,21,0,Current,None
INV-0134,CUST-054,Sivanandam Trading Co.,SME,Hyderabad,08-08-2024,07-09-2024,14001,0,,Disputed,Annual License,Anita Reddy,Yes,Goods Not Received,14001,,296,90+ Days,High - Legal Review
INV-0135,CUST-055,Balakrishnan Real Estate,SME,Hyderabad,21-08-2024,20-09-2024,28516,28516,21-10-2024,Late_Paid,Consulting,Karan Mehta,No,,0,61,0,Current,None
INV-0136,CUST-056,Ramani Manufacturing,SME,Hyderabad,16-11-2024,16-12-2024,14457,14457,25-11-2024,Paid,Maintenance Contract,Divya Singh,No,,0,9,0,Current,None
INV-0137,CUST-057,Vijayalakshmi Heavy Industries,SME,Hyderabad,09-03-2024,08-04-2024,19443,19443,10-05-2024,Late_Paid,Product Sale,Amit Verma,No,,0,62,0,Current,None
INV-0138,CUST-058,Jayaraman Logistics,SME,Hyderabad,16-01-2025,15-02-2025,36004,36004,27-03-2025,Late_Paid,Annual License,Priya Sharma,No,,0,70,0,Current,None
INV-0139,CUST-059,Thomas Marine Eng,SME,Hyderabad,03-12-2024,02-01-2025,31401,19468.62,12-01-2025,Partial,Maintenance Contract,Rahul Nair,No,,11932.38,40,179,90+ Days,Critical - Escalate Now
INV-0140,CUST-060,Sunder Rao Traders,SME,Hyderabad,22-10-2024,21-11-2024,33358,0,,Disputed,Maintenance Contract,Sneha Patel,Yes,Price Mismatch,33358,,221,90+ Days,High - Legal Review
